source	target	relation	source_database
drugbank:DB11300	HGNC:3546	1	drugbank
drugbank:DB01427	HGNC:8778	-1	drugbank
drugbank:DB01296	HGNC:7795	-1	drugbank
drugbank:DB00387	HGNC:1952	-1	drugbank
drugbank:DB00340	HGNC:1951	-1	drugbank
drugbank:DB00697	HGNC:282	1	drugbank
drugbank:DB13961	HGNC:1390	-1	drugbank
drugbank:DB01151	HGNC:277	-1	drugbank
drugbank:DB00246	HGNC:5295	-1	drugbank
drugbank:DB12808	HGNC:9865	1	drugbank
drugbank:DB00619	HGNC:8803	-1	drugbank
drugbank:DB09167	HGNC:1950	-1	drugbank
drugbank:DB01403	HGNC:277	-1	drugbank
drugbank:DB13998	HGNC:6692	1	drugbank
drugbank:DB01024	HGNC:6053	-1	drugbank
drugbank:DB06787	HGNC:1950	-1	drugbank
drugbank:DB11718	HGNC:1097	-1	drugbank
drugbank:DB00477	HGNC:280	-1	drugbank
drugbank:DB01189	HGNC:4081	1	drugbank
drugbank:DB11278	HGNC:280	1	drugbank
drugbank:DB00398	HGNC:9967	-1	drugbank
drugbank:DB09568	HGNC:3151	1	drugbank
drugbank:DB01611	HGNC:15633	-1	drugbank
drugbank:DB00020	HGNC:10659	1	drugbank
drugbank:DB00514	HGNC:1964	-1	drugbank
drugbank:DB00255	HGNC:3467	1	drugbank
drugbank:DB00240	HGNC:7978	1	drugbank
drugbank:DB07776	HGNC:3473	1	drugbank
drugbank:DB00843	HGNC:4588	-1	drugbank
drugbank:DB01215	HGNC:4081	1	drugbank
drugbank:DB01200	HGNC:5295	1	drugbank
drugbank:DB12010	HGNC:7029	-1	drugbank
drugbank:DB00782	HGNC:1950	-1	drugbank
drugbank:DB11124	HGNC:285	1	drugbank
drugbank:DB00458	HGNC:1954	-1	drugbank
drugbank:DB01589	HGNC:4083	1	drugbank
drugbank:DB06262	HGNC:281	1	drugbank
drugbank:DB01235	HGNC:3024	1	drugbank
drugbank:DB13800	HGNC:1442	1	drugbank
drugbank:DB00543	HGNC:277	-1	drugbank
drugbank:DB01221	HGNC:11526	-1	drugbank
drugbank:DB00721	HGNC:11049	-1	drugbank
drugbank:DB00674	HGNC:1965	1	drugbank
drugbank:DB00562	HGNC:1375	-1	drugbank
drugbank:DB00433	HGNC:281	-1	drugbank
drugbank:DB00599	HGNC:1958	-1	drugbank
drugbank:DB01054	HGNC:1390	-1	drugbank
drugbank:DB01303	HGNC:263	-1	drugbank
drugbank:DB06216	HGNC:283	-1	drugbank
drugbank:DB00472	HGNC:5295	-1	drugbank
drugbank:DB01400	HGNC:108	-1	drugbank
drugbank:DB12010	HGNC:1460	-1	drugbank
drugbank:DB00215	HGNC:11050	-1	drugbank
drugbank:DB12141	HGNC:5287	-1	drugbank
drugbank:DB06785	HGNC:4421	-1	drugbank
drugbank:DB00201	HGNC:8781	-1	drugbank
drugbank:DB06616	HGNC:6842	-1	drugbank
drugbank:DB00086	HGNC:9071	1	drugbank
drugbank:DB00897	HGNC:4076	1	drugbank
drugbank:DB13345	HGNC:5302	-1	drugbank
drugbank:DB00559	HGNC:3179	-1	drugbank
drugbank:DB01406	HGNC:3467	1	drugbank
drugbank:DB13867	HGNC:7979	-1	drugbank
drugbank:DB00867	HGNC:286	1	drugbank
drugbank:DB06205	HGNC:11766	-1	drugbank
drugbank:DB11590	HGNC:4026	-1	drugbank
drugbank:DB00691	HGNC:13557	-1	drugbank
drugbank:DB00627	HGNC:24827	1	drugbank
drugbank:DB00482	HGNC:9605	-1	drugbank
drugbank:DB01016	HGNC:42	-1	drugbank
drugbank:DB10770	HGNC:8804	1	drugbank
drugbank:DB00518	HGNC:20766	-1	drugbank
