pubchem.compound:5280453	ncbigene:4654	upregulates
pubchem.compound:5280343	ncbigene:5894	downregulates
pubchem.compound:441074	ncbigene:3757	downregulates
pubchem.compound:5280723	ncbigene:5732	downregulates
pubchem.compound:30323	ncbigene:5743	downregulates
pubchem.compound:3715	ncbigene:836	upregulates
pubchem.compound:5311067	ncbigene:5319	downregulates
pubchem.compound:9444	ncbigene:1030	downregulates
pubchem.compound:12035	ncbigene:2056	upregulates
pubchem.compound:6047	ncbigene:5764	upregulates
pubchem.compound:4594	ncbigene:196	upregulates
pubchem.compound:145068	ncbigene:4953	downregulates
pubchem.compound:5546	ncbigene:6337	downregulates
pubchem.compound:36462	ncbigene:7157	upregulates
pubchem.compound:6013	ncbigene:7296	upregulates
pubchem.compound:16362	ncbigene:1814	downregulates
pubchem.compound:54454	ncbigene:6622	downregulates
pubchem.compound:448537	ncbigene:23508	downregulates
pubchem.compound:5472	ncbigene:1555	downregulates
pubchem.compound:24826799	ncbigene:3932	downregulates
pubchem.compound:4912	ncbigene:1027	upregulates
pubchem.compound:37542	ncbigene:22978	upregulates
pubchem.compound:2719	ncbigene:4318	downregulates
pubchem.compound:2756	ncbigene:212	downregulates
pubchem.compound:11707110	ncbigene:5605	downregulates
pubchem.compound:5284616	ncbigene:2932	upregulates
pubchem.compound:5904	ncbigene:3458	upregulates
pubchem.compound:5360696	ncbigene:653361	downregulates
pubchem.compound:37542	ncbigene:2146	downregulates
pubchem.compound:4171	ncbigene:846	upregulates
pubchem.compound:145068	ncbigene:9407	downregulates
pubchem.compound:8378	ncbigene:5741	downregulates
pubchem.compound:448537	ncbigene:7048	downregulates
pubchem.compound:445643	ncbigene:5530	downregulates
pubchem.compound:4830	ncbigene:3358	downregulates
pubchem.compound:6918638	ncbigene:8841	downregulates
pubchem.compound:1548943	ncbigene:5315	upregulates
pubchem.compound:3488	ncbigene:3553	downregulates
pubchem.compound:4775	ncbigene:2597	downregulates
pubchem.compound:31703	ncbigene:1958	upregulates
pubchem.compound:2733526	ncbigene:5590	downregulates
pubchem.compound:5280343	ncbigene:317	upregulates
pubchem.compound:2796	ncbigene:5465	upregulates
pubchem.compound:4909	ncbigene:1139	downregulates
pubchem.compound:33741	ncbigene:1139	downregulates
pubchem.compound:3488	ncbigene:9407	upregulates
pubchem.compound:702	ncbigene:1385	downregulates
pubchem.compound:5280360	ncbigene:5739	upregulates
pubchem.compound:1548943	ncbigene:837	upregulates
pubchem.compound:5070	ncbigene:627	upregulates
pubchem.compound:5073	ncbigene:3269	downregulates
pubchem.compound:3559	ncbigene:150	downregulates
